tags: ἕρμαιον ἕρμαιον-7 vocabulaire

τις, τινος<br><span class="fr">[τι<span class="desinence">ν</span>-]</span>|quelqu'un, un<br>[pronom-adj. indéfini 2<sup>ème</sup> cl.]<br>[enclitique]
<table><tr><td>εἷς</td><td>ἑνός<td></tr><tr><td>ἕν</td><td>ἑνός<td></tr><tr><td>μίᾰ</td><td>μιᾶς<td></tr></table>|un<br>[adj. numéral cardinal 3<sup>ème</sup> cl.]
δύο (N.&#8209;A.), δυοῖν (G.&#8209;D.)|deux<br>[adj. numéral cardinal]

ἀμελέ-ω|je néglige <span class="cas">+gen</span>
ἡ ἀμέλ<span class="desinence">ειᾰ</span>|la négligence
ἀμελεῖν τινος|négliger quelque chose
ἐπι&#8209;μελέ&#8209;ομαι (ἐπι&#8209;μέλομαι)|je m'occupe de <span class="cas">+gen</span>
ἡ ἐπιμέλ<span class="desinence">ειᾰ</span>|le soin
ἐπιμελεῖσθαί τινος|s'occuper de quelque chose
μισέ-ω|je déteste, je hais
ὁ πατήρ, πατρός<br><span class="fr">[πατε<span class="desinence">ρ</span>-, πατ<span class="desinence">ρ</span>-]</span>|le père
ἡ μήτηρ, μητρός<br><span class="fr">[μητε<span class="desinence">ρ</span>-, μητ<span class="desinence">ρ</span>-]</span>|la mère
ἡ θυγάτηρ, θυγατρός<br><span class="fr">[θυγατε<span class="desinence">ρ</span>-, θυγατ<span class="desinence">ρ</span>-]</span>|la fille (filiation)
ἡ γαστήρ, γαστρός<br><span class="fr">[γαστε<span class="desinence">ρ</span>-, γαστ<span class="desinence">ρ</span>-]</span>|l'estomac
βαίνω|je marche
δια-ϐαίνω|je traverse
ἀνα-ϐαίνω|je monte
κατα-ϐαίνω|je descends
ἐκ-ϐαίνω|je sors
παρα-ϐαίνω|je marche à côté, je transgresse
ὑπερ-ϐαίνω|je passe par dessus, je dépasse
ἐμ-ϐαίνω|j'embarque
ἐπι-ϐαίνω|je mets le pied sur
προ-ϐαίνω|j'avance
περι-ϐαίνω|je marche autour
συμ-ϐαίνειν|survenir (à propos d'un événement)
συμ-ϐαίνει|il arrive que
χρηστὰ συμϐαίνει|il arrive des choses heureuses
μετά <span class="cas">+gen</span>|avec (accompagnement ou manière)
μετά <span class="cas">+acc</span>|après
ἦλθεν μετὰ τοῦ πατρός|il est venu <span style="font-weight: bold">avec</span> son père
ἦλθεν μετὰ τὸν πατέρα|il est venu <span style="font-weight: bold">après</span> son père
ἦλθεν μετὰ τὴν νύκτα|il est venu <span style="font-weight: bold">après</span> la nuit
μετ᾿ ἐπιμελείᾱς|<span style="font-weight: bold">avec</span> soin
μετ᾿ ὀργῆς|<span style="font-weight: bold">avec</span> colère

ἡδέως|agréablement
ἀληθινός|véritable
αὖθις|de nouveau
φαίνομαι|je parais
ὁ Ὀλύνθιος|l'Olynthien
μέλλω|je tarde
ἔμπειρός εἰμι|j'ai l'expérience de <span class="cas">+gen</span>
ἄπειρος|sans expérience, ignorant de <span class="cas">+gen</span>
ἄτοπος|absurde
Φιλήμων, &#8209;ονος<br><span class="fr">[Φιλημ<span class="desinence">ον</span>-]</span>|Philémon
ὁ πίθηκος|le singe
τὸ γένημα, γενήματος<br><span class="fr">[γενημα<span class="desinence">τ</span>-]</span>|le rejeton
θεῖος|divin, extraordinaire
στερρῶς|fortement
ἀπο-πνίγω|j'étouffe
ὀλιγωρέ-ω (= ἀμελέ-ω)|je néglige
τελειό-ω|je mène à bonne fin
τέλειος|parfait
ἡ πρόν<span class="desinence">οιᾰ</span>|la prévoyance
