tags: ἕρμαιον ἕρμαιον-6 vocabulaire

ἡ νύξ, νυκτός<br><span class="fr">[νυκ<span class="desinence">τ</span>-]</span>|la nuit
ὁ Ἕλλην, &#8209;ηνος<br><span class="fr">[Ἑλλ<span class="desinence">ην</span>-]</span>|le Grec
ἑλληνῐκός|grec
ἡ Ἑλλάς, &#8209;άδος<br><span class="fr">[Ἑλλα<span class="desinence">δ</span>-]</span>|la Grèce
ὁ χειμών, &#8209;ῶνος<br><span class="fr">[χειμ<span class="desinence">ων</span>-]</span>|l'hiver, la tempête
τὸ κτῆμα, κτήματος<br><span class="fr">[κτημα<span class="desinence">τ</span>-]</span>|l'acquisition, le bien
κτά-ομαι|j'acquiers
ὁ/ἡ παῖς, παιδός<br><span class="fr">[παι<span class="desinence">δ</span>-]</span>|l'enfant
παίζω|je joue
ἡ παιδ<span class="desinence">είᾱ</span>|l'éducation
ὁ ἀνήρ, ἀνδρός<br><span class="fr">[ἀνδρ-]</span>|l'homme, le mari
ἀνδρεῖος|courageux
δειλός|lâche, poltron
ἡ δειλ<span class="desinence">ίᾱ</span>|la lâcheté
ὁ γέρων, &#8209;οντος<br><span class="fr">[γερο<span class="desinence">ντ</span>-]</span>|le vieillard
ὁ λέων, &#8209;οντος<br><span class="fr">[λεο<span class="desinence">ντ</span>-]</span>|le lion
ἡ λέ<span class="desinence">αινᾰ</span>|la lionne
ἡ ὕ<span class="desinence">αινᾰ</span>|la hyène
σοφός|sage, savant
ἡ σοφ<span class="desinence">ίᾱ</span>|la science, la sagesse
ὁ φιλόσοφος|le philosophe
ἡ φιλοσοφ<span class="desinence">ίᾱ</span>|la philosophie
ῥᾴδιος|facile
μανθάνω|j'apprends, j'étudie
ἡ βουλή|la volonté, la réflexion
βούλομαι|je veux

ἡ γυνή, &#8209;αικός<br><span class="fr">[γυναι<span class="desinence">κ</span>-]</span>|la femme
σώφρων, &#8209;ονος<br><span class="fr">[σωφρ<span class="desinence">ον</span>-]</span>|sensé, maître de soi, tempérant, pondéré, réservé
ὁ κόσμος|l'ordre, l'ornement, l'univers
κοσμέ-ω|j'orne
εὑρίσκω|je trouve
ἡ οἰκία|la maison
ἡ τέχνη|l'art, le métier, la technique&nbsp;; avec un sens péjoratif&nbsp;: ruse, faux-semblant
τερπνός|agréable, charmant
τέρπω|je charme
ἡ σιγή|le silence
σιγά-ω|je me tais
