tags: ἕρμαιον ἕρμαιον-2 vocabulaire

εἰς <span class="cas">+acc</span>|vers, au (direction du mouvement), en vue de [proclitique]
ἐν <span class="cas">+dat</span>|dans, à (datif locatif) [proclitique]
ὁ ἄνθρωπος|l'homme
ὁ ἵππος|le cheval
ὁ ἀγρός|le champ
ὁ θεός|le dieu
ὁ λόγος|la parole, la raison
πολλοί|nombreux
ἄγω|je conduis
ἔχω|j'ai
ὁ γεωργός|le paysan
Ἀθηναῖος|Athénien
θύω|je sacrifie (à un dieu)
ὁ καρπός|le fruit
καλός|beau
κακός|mauvais
φίλος|ami
ὁ φίλος|l'ami
φέρω|je porte
καί|et
παιδεύω|j'éduque
λύω|je délie

ὁ ταῦρος|le taureau
ὁ τύραννος|le dictateur
ὁ πτωχός|le mendiant
ὁ πόνος|le labeur
μόνος|seul
μένω|je reste
λέγω|je dis
κωλύω|j'empêche
γιγνώσκω|je connais
διώκω|je poursuis, je chasse
λάμπω|je brille
χρήσιμος|utile
στέργω|j'aime, je chéris
ὁ ἄγγελος|le messager
ὁ κίνδυνος|le danger, le péril
ὁ ἀδελφός|le frère
ὁ κῆπος|le jardin
χαλεπός|pénible
σπεύδω|je me hâte
ὁ σύμμαχος|l'allié
ὁ δῆμος|le peuple
σεμνός|au sens fort : vénérable, prestigieux ; en un sens atténué : sérieux
ὁ τρόπος|la manière d'être ou d'agir, le comportement
κρίνω|je juge (avec l'idée de distinguer, de séparer ce qui est bon de ce qui est mauvais)
